"ID","Name","X","Y","Width","Height","Capacity"
3688786696,"C01",79,79,300,300,290.76
269449559,"C02",481,215,300,300,615.41
1340176807,"C03",656,75,300,300,295.63
2324073810,"C04",656,82,300,300,295.63
2567549275,"C05",677,211,300,300,727.57
1497375095,"C06",677,219,300,300,727.57
427882224,"C07",677,360,300,300,399.46
2497795381,"C08",677,368,300,300,399.46
1857670817,"C09",677,484,300,300,278.69
1112249143,"P01",140,129,133,20,1050.97
1363917025,"P02",392,215,178,20,938.72
1590572706,"P03",803,215,248,20,1000.62
3866090832,"P04",806,364,248,20,861.13
655659572,"P05",580,300,196,20,958.58
274430658,"P06",580,342,196,20,930.31
2735117882,"P07",580,483,196,20,409.01
2157128765,"P08",580,422,196,20,705.47
